id,title,description,kind,occasion_label,film,event,location,year,date_start,date_end,subjects,people,brands,magazine_issue,orientation,orientation_confidence,orientation_samples,contains_minor,minor_risk,contains_minor_confirmed,file_count,dominant_media,duplicate_folders,url,raw_folder_name
poster-the-super-lollis-covers-key-art-2026,"The Super Lollis Covers — Key Art, 2026",Key art — 2 images. From The Super Lollis from 2026.,poster,Unspecified,The Super Lollis,,,2026,2026-01-01,,,,lolli-brands,,,,0,false,none,false,4,image,1,https://drive.google.com/drive/folders/1rHTmRJlTUsNbk7vHoNTrW7vxh3WCBBcz,The Super Lollis 2026 Covers
event-photography-dr-whitfield-grand-opening-clinic-producti,"Dr. Whitfield Grand Opening — Clinic production, March 2026","Event photography — 625 images. Shot March 16, 2026. Featuring Dr. Whitfield.",event photography,Clinic production,,,,2026,2026-03-16,,,Dr. Whitfield,lolli-brands,,landscape,1,5,false,none,false,625,image,4,https://drive.google.com/drive/folders/1RTDDbHnhfSgDXduTivqZivHWis2u8ptI,7. 03/16/26 Dr. Whitfield Grand Opening RAW Photos
b-roll-phil-daru-ruck-100-dani-s-workout-december-2025,"Phil Daru Ruck 100 Dani's — Workout, December 2025","B-roll — 51 images, 124 videos. From Phil Daru Ruck 100 shot December 7, 2025. Featuring Phil Daru.",b-roll,Workout,,Phil Daru Ruck 100,,2025,2025-12-07,2025-12-08,,Phil Daru,lolli-brands,,portrait,0.8,5,false,none,false,175,video,1,https://drive.google.com/drive/folders/1SyhKIf-uEiuHgSw9kFJxrNPvJ0aFP7mb,12/7 - 12/08 '25 Phil Daru Ruck 100 Dani's Footage
b-roll-dani-phone-book-signing-miami-february-2026,"Dani Phone — Book signing, Miami, February 2026","B-roll — 11 images, 17 videos. In Miami shot February 20, 2026. Featuring Dr. Amy Shah.",b-roll,Book signing,,,Miami,2026,2026-02-20,,,Dr. Amy Shah,lolli-brands,,portrait,1,5,false,context,false,28,video,1,https://drive.google.com/drive/folders/1bCMMtnfoMrhDpGzLPrNmjQ89oW963IkS,Dani Phone Footage
event-photography-dr-amy-shah-book-signing-event-photography,"Dr. Amy Shah Book Signing — Event Photography, Miami, February 2026","Event photography — 203 images. In Miami shot February 20, 2026. Featuring Dr. Amy Shah.",event photography,Book signing,,,Miami,2026,2026-02-20,,,Dr. Amy Shah,lolli-brands,,portrait,1,5,false,context,false,203,image,4,https://drive.google.com/drive/folders/1fYnFYPUENhYm8MmLVnXmKov9ZrWHoFeN,02/20/26 Dr. Amy Shah Book Signing RAW Photos
magazine-magazine-mug,Magazine & Mug,"Magazine production files — 545 images, 34 videos. From sHEALed.",magazine,Unspecified,sHEALed,,,,,,,,biohack-yourself,,landscape,1,5,false,none,false,579,image,2,https://drive.google.com/drive/folders/1noWOGRf-YdQlucThw1E9um-l2fnhwDNo,_Magazine & Mug Shots
b-roll-dr-whitfield-morning-tour-clinic-production-march-202,"Dr. Whitfield Morning Tour — Clinic production, March 2026","B-roll — 40 videos. Shot March 16, 2026. Featuring Dr. Whitfield, Dr. Whitfield Morning.",b-roll,Clinic production,,,,2026,2026-03-16,,,Dr. Whitfield; Dr. Whitfield Morning,lolli-brands,,landscape,1,5,false,none,false,80,video,1,https://drive.google.com/drive/folders/1Lcl5XIUP6QWDNx_uWvBpjKinaeeHaGFG,7. 03/16/26 Dr. Whitfield Morning Tour RAW Videos
magazine-bhyf-1225-final-pdfs-issue-3-magazine,BHYF_1225_FINAL_PDFS — Issue #3 — Magazine,Magazine production files — 101 documents. Featuring Lara Trump.,magazine,Unspecified,,,,,,,,Lara Trump,biohack-yourself,3,,0,0,false,none,false,102,document,2,https://drive.google.com/drive/folders/1WYcr2CkQi6P5EkXCoQaIQzfk47-5pJMJ,BHYF_1225_FINAL_PDFS
magazine-ashton-hall-issue-8-cover-shoot,Ashton Hall — Issue #8 — Cover shoot,"Magazine production files — 3,202 images. Featuring Ashton Hall.",magazine,Cover shoot,,,,,,,,Ashton Hall,biohack-yourself,8,portrait,1,5,false,none,false,3202,image,7,https://drive.google.com/drive/folders/1hASHG85tgTa9MANS_r--ihaSgVI_M-ct,Ashton Hall Raw Photos
b-roll-robert-deniro-film-b-roll,Robert DeNiro Film — B-Roll,"B-roll — 60 images, 87 videos.",b-roll,Unspecified,,,,,,,,,lolli-brands,,portrait,1,5,false,none,false,147,video,1,https://drive.google.com/drive/folders/1_dZDpSvW9xE2I9xa90qTCL7lk7bJRt2_,17. Robert DeNiro Film
event-photography-dr-gabrielle-lyon-book-signing-event-photo,"Dr. Gabrielle Lyon Book Signing — Event Photography, January 2026","Event photography — 1,515 images. Shot January 27, 2026. Featuring Dr. Gabrielle Lyon.",event photography,Book signing,,,,2026,2026-01-27,,,Dr. Gabrielle Lyon,lolli-brands,,portrait,1,5,false,context,false,1515,image,3,https://drive.google.com/drive/folders/1gBCFFHTeYOB8oUcwaxPhN-SN_dK-fzSZ,1/27/26 Dr. Gabrielle Lyon Book Signing RAW Photos
poster-andrew-tate-main-cover-key-art,*Andrew Tate Main Cover — Key Art,Key art — 1 image. Featuring Andrew Tate.,poster,Cover shoot,,,,,,,,Andrew Tate,lolli-brands,,,,0,false,none,false,1,image,1,https://drive.google.com/drive/folders/15w4R2XfucCpHW_6wWF1q3p_M1219uTjD,*Andrew Tate Main Cover
b-roll-before-workout,Before — Workout,B-roll — 413 videos.,b-roll,Workout,,,,,,,,,lolli-brands,,portrait,1,5,false,none,false,413,video,1,https://drive.google.com/drive/folders/15v8JKu8FM6btQMO_BvbL-qVLvDuyw7Tj,Before Videos
document-bye-ol-dentistry-transcripts-long-form-documents,Bye Ol’ Dentistry Transcripts Long Form — Documents,Documents — 47 documents. From Bye Ol' Dentistry.,document,Unspecified,Bye Ol' Dentistry,,,,,,,,lolli-brands,,,,0,false,none,false,47,document,1,https://drive.google.com/drive/folders/1rkdSRwLNJDWYAPOpxlL5hCU-SKMRA2hb,6. Bye Ol’ Dentistry Transcripts Long Form
magazine-biohack-yourself-issue-5-magazine,Biohack Yourself — Issue #5 — Magazine,Magazine production files — 2 images. From Biohack Yourself. Featuring Andrew Tate.,magazine,Unspecified,Biohack Yourself,,,,,,,Andrew Tate,biohack-yourself,5,,,0,false,none,false,2,image,9,https://drive.google.com/drive/folders/1L_zRaxniW0QTPX96xVbjNo2gkGg4xcTh,5. LOGOS
magazine-biohack-yourself-magazine-cover-feature-issue-5,Biohack Yourself Magazine - Cover & Feature — Issue #5,"Magazine production files — 1 image, 1 document. From Biohack Yourself. Featuring Andrew Tate.",magazine,Unspecified,Biohack Yourself,,,,,,,Andrew Tate,biohack-yourself,5,,,0,false,none,false,2,image,1,https://drive.google.com/drive/folders/1-XvueMiSpzxWWf25Z959xUwXAVDZkFJl,Biohack Yourself Magazine Assets - Cover & Feature
magazine-warrior-s-choice-foundation-lara-trump-magazine-sig,"Warrior's Choice Foundation - Lara Trump Magazine Signing — Book signing, November 2025","Magazine production files — 534 images, 10 videos. From Warrior's Choice Foundation shot November 10, 2025. Featuring Lara Trump.",magazine,Book signing,,Warrior's Choice Foundation,,2025,2025-11-10,,,Lara Trump,biohack-yourself,,portrait,1,5,false,context,false,544,image,1,https://drive.google.com/drive/folders/1x9qAdBbsXqUcsjhDSP4Y9eIHaPjNzNHd,18. 11/10/2025 - Warrior's Choice Foundation - Lara Trump Magazine Signing
event-photography-hack-your-health-project-event-photography,"Hack Your Health — Project — Event Photography, November 2025","Event photography — 8 images, 4 videos, 4 audio files, 2 vector files. From Hack Your Health shot November 13, 2025.",event photography,Unspecified,,Hack Your Health,,2025,2025-11-13,2025-11-15,,,biohack-yourself,,landscape,0.8,5,false,none,false,19,image,3,https://drive.google.com/drive/folders/1Er9BfQs32qbi8o9ss58WHpwZK4O5tC_x,Project Files
magazine-andrew-tate-cover-star-biohack-yourself-issue-5-mag,Andrew Tate (Cover Star) - Biohack Yourself Issue #5 Magazine — Issue #5,Magazine production files — 3 videos. From Biohack Yourself. Featuring Andrew Tate.,magazine,Unspecified,Biohack Yourself,,,,,,,Andrew Tate,biohack-yourself,5,,,0,false,none,false,3,video,1,https://drive.google.com/drive/folders/15ocP188BvxA67_aWnHphdt1kstDJMVom,Andrew Tate (Cover Star) - Biohack Yourself Issue #5 Magazine Deliverables
b-roll-gagik-b-roll,Gagik — B-Roll,"B-roll — 2 images, 15 videos.",b-roll,Unspecified,,,,,,,,,lolli-brands,,portrait,1,5,false,none,false,17,video,1,https://drive.google.com/drive/folders/1qaUTvxjafgOeisrc-jaI_vkXuxUip_Uk,Gagik Footage
magazine-warrior-s-choice-foundation-book-signing-november-2,"Warrior's Choice Foundation — Book signing, November 2025","Magazine production files — 265 videos. From Warrior's Choice Foundation shot November 10, 2025. Featuring Lara Trump.",magazine,Book signing,,Warrior's Choice Foundation,,2025,2025-11-10,,,Lara Trump,biohack-yourself,,landscape,1,5,false,context,false,265,video,1,https://drive.google.com/drive/folders/1ZSKwwI-oGnt5s0G9C5Nwg-Z9YE9ho45x,Warrior's Choice Foundation RAW Videos
event-photography-a4m-red-carpet-carousel-images-for-ig-prem,"A4M Red Carpet — Carousel images for IG — Premiere, December 2024","Event photography — 17 images. From A4M Red Carpet shot December 15, 2024.",event photography,Premiere,Biohack Yourself,A4M Red Carpet,,2024,2024-12-15,,,,biohack-yourself,,landscape,0.8,5,false,context,false,17,image,1,https://drive.google.com/drive/folders/1-R07ltcOFmdc32Ewvsh6h8WVA_fIBssA,Carousel images for IG
magazine-exhibitor-issue-4-magazine,Exhibitor — Issue #4 — Magazine,Magazine production files — 26 images. Featuring Dr. Gabrielle Lyon.,magazine,Unspecified,,,,,,,,Dr. Gabrielle Lyon,biohack-yourself,4,square,1,5,false,none,false,26,image,1,https://drive.google.com/drive/folders/1gb3ZfQ6Ji0DmGgGGi0OhDWFncx9DI13i,Exhibitor Thumbnails
b-roll-maha-inaugural-ball-dr-v-talks-speaking-january-2025,"MAHA Inaugural Ball — Dr. V Talks — Speaking, January 2025","B-roll — 12 videos. From MAHA Inaugural Ball shot January 20, 2025.",b-roll,Speaking,,MAHA Inaugural Ball,,2025,2025-01-20,,,,biohack-yourself,,portrait,1,5,false,none,false,12,video,1,https://drive.google.com/drive/folders/1c07hvd4neDFzlgL38KFmajVvwOBjHX0d,Dr. V Talks
b-roll-sunscreen-film-festival-hannah-b-roll-april-2025,"SunScreen Film Festival — Hannah — B-Roll, April 2025","B-roll — 4 images, 16 videos. From SunScreen Film Festival shot April 24, 2025.",b-roll,Festival,,SunScreen Film Festival,,2025,2025-04-24,,,,biohack-yourself,,portrait,1,5,false,context,false,20,video,1,https://drive.google.com/drive/folders/10fvbMNZqGdPor8w4NtfWWxzTuJN3XzL-,Hannah RAW
b-roll-dr-alan-bauman-b-roll-september-2025,"Dr. Alan Bauman — B-Roll, September 2025","B-roll — 68 videos. Shot September 12, 2025. Featuring Dr. Alan Bauman.",b-roll,Unspecified,,,,2025,2025-09-12,,,Dr. Alan Bauman,lolli-brands,,landscape,1,5,false,none,false,68,video,2,https://drive.google.com/drive/folders/1AXHrbRT_NrIGkcIMqXpkROaTNBYuHwFy,12/05/25 Dr. Alan Bauman RAW Videos
event-photography-maha-inaugural-ball-maha-ball-event-photog,"MAHA Inaugural Ball — MAHA Ball — Event Photography, January 2025","Event photography — 942 images, 2 videos. From MAHA Inaugural Ball shot January 20, 2025.",event photography,Unspecified,,MAHA Inaugural Ball,,2025,2025-01-20,,,,biohack-yourself,,portrait,1,5,false,none,false,944,image,1,https://drive.google.com/drive/folders/1-aB8lCKQOhB70mek7O-0ICw4uu1V5yxx,2. 1/20/2025 - MAHA Ball
b-roll-sas-turning-point-tampa-b-roll-july-2025,"SAS Turning Point Tampa — B-Roll, July 2025","B-roll — 210 videos. From SAS Turning Point in Tampa shot July 12, 2025.",b-roll,Unspecified,,SAS Turning Point,Tampa,2025,2025-07-12,,,,lolli-brands,,landscape,1,5,false,none,false,212,video,1,https://drive.google.com/drive/folders/1LAMuHm2zLxyzzX6PRXNbqd-b6zaFGyXl,SAS Turning Point Tampa RAW Videos
b-roll-ultimate-wellness-conference-miami-b-roll-september-2,"Ultimate Wellness Conference Miami — B-Roll, September 2025","B-roll — 12 videos. In Miami shot September 28, 2025.",b-roll,Conference,,,Miami,2025,2025-09-28,,,,lolli-brands,,portrait,1,5,false,none,false,12,video,1,https://drive.google.com/drive/folders/18Li4Y_Uo5xqXO-C0RluXozrjCslS6cr1,2025 Ultimate Wellness Conference Miami
event-photography-the-cold-collective-event-photography-july,"The Cold Collective — Event Photography, July 2025","Event photography — 11 images, 10 videos. Shot July 13, 2025.",event photography,Unspecified,,,,2025,2025-07-13,,,,lolli-brands,,portrait,1,5,false,none,false,21,image,1,https://drive.google.com/drive/folders/19IFe05bT1XXZ5o91-2m-40XoqU1KeEZ8,9. 7/13/2025 - The Cold Collective
b-roll-sas-turning-point-b-roll-tampa-july-2025,"SAS Turning Point — B-Roll, Tampa, July 2025","B-roll — 26 videos. From SAS Turning Point in Tampa shot July 12, 2025.",b-roll,Unspecified,,SAS Turning Point,Tampa,2025,2025-07-12,,,,lolli-brands,,portrait,1,5,false,none,false,26,video,1,https://drive.google.com/drive/folders/14K0w1fNCpvPXRVtkkmzP1naRy3fIc0-2,SAS Shorts
event-photography-ufc-aires-tech-roundtable-aires-tech-brain,"UFC × Aires Tech Roundtable — Aires Tech Brain Scan — Event Photography, May 2025","Event photography — 25 images, 1 video. From UFC × Aires Tech Roundtable shot May 23, 2025.",event photography,Unspecified,,UFC × Aires Tech Roundtable,,2025,2025-05-23,,,,lolli-brands,,portrait,1,5,false,none,false,26,image,1,https://drive.google.com/drive/folders/1yjZb8mJmUGRezHFqD5SEYXZ67CaYEo-U,11. 05/23/25 - Aires Tech Brain Scan
interview-25-zenos-health-summit-sit-down-interviews-confere,"‘25 Zenos Health Summit Sit Down Interviews — Conference, October 2025","Interview footage — 5 videos, 5 documents. From Zenos Health Summit shot October 23, 2025.",interview,Conference,,Zenos Health Summit,,2025,2025-10-23,2025-10-25,,,biohack-yourself,,landscape,1,5,false,none,false,10,video,1,https://drive.google.com/drive/folders/1hWwxGnX3cEcb_YqZURIk1Gmjs_gEa7zO,10/23-25 ‘25 Zenos Health Summit Sit Down Interviews
b-roll-anthony-lolli-phone-b-roll-september-2025,"Anthony Lolli Phone — B-Roll, September 2025","B-roll — 14 images, 19 videos. Shot September 28, 2025. Featuring Anthony Lolli.",b-roll,Unspecified,,,,2025,2025-09-28,,anthony,,lolli-brands,,portrait,1,5,false,context,false,33,video,1,https://drive.google.com/drive/folders/1ZG0XCr73Dgsk_UMVwmIXMTwwNmN46X4Y,Anthony Lolli Phone Footage
b-roll-luca-cell-phone-b-roll-september-2025,"Luca Cell Phone — B-Roll, September 2025","B-roll — 40 videos. Shot September 28, 2025.",b-roll,Unspecified,,,,2025,2025-09-28,,,,lolli-brands,,portrait,1,5,false,none,false,40,video,1,https://drive.google.com/drive/folders/161KWCAKeKgiNRZ-CYLHi7xSFTRu3iTCv,Luca Cell Phone Footage
b-roll-zenos-health-summit-emma-conference-october-2025,"Zenos Health Summit Emma — Conference, October 2025","B-roll — 15 images, 57 videos. From Zenos Health Summit shot October 23, 2025.",b-roll,Conference,,Zenos Health Summit,,2025,2025-10-23,2025-10-25,,,biohack-yourself,,portrait,1,5,false,none,false,72,video,1,https://drive.google.com/drive/folders/11ny-uBQTDDrrbWnfdzsUlLWIu5zvEk7J,10/23-25 '25 Zenos Health Summit Emma Folder
b-roll-bloom-tv-b-roll-august-2025,"Bloom TV — B-Roll, August 2025","B-roll — 125 videos. Shot August 28, 2025.",b-roll,Unspecified,,,,2025,2025-08-28,,,,lolli-brands,,landscape,1,5,false,none,false,125,video,2,https://drive.google.com/drive/folders/1fjZGPhmPWIIWADLtA1YjeXflH5GmSNl6,Bloom TV RAW Video
event-photography-zenos-health-summit-favorite-conference-oc,"Zenos Health Summit Favorite — Conference, October 2025","Event photography — 26 images. From Zenos Health Summit shot October 23, 2025.",event photography,Conference,,Zenos Health Summit,,2025,2025-10-23,2025-10-25,,,biohack-yourself,,landscape,0.8,5,false,none,false,26,image,1,https://drive.google.com/drive/folders/1BLrLwCcXUyLqCLs80IzF31ZfQpoJqn36,10/23-25 '25 Zenos Health Summit Favorite Photos
b-roll-anthony-lolli-vibe-con-cell-b-roll,Anthony Lolli Vibe Con Cell — B-Roll,"B-roll — 2 images, 7 videos. Featuring Anthony Lolli.",b-roll,Unspecified,,,,,,,anthony,,lolli-brands,,portrait,1,5,false,context,false,10,video,2,https://drive.google.com/drive/folders/1zUE7_QxhxU6ZzefqUxvofxFLVfx2d2iN,Anthony Lolli Vibe Con Cell Footage
bts-maha-inaugural-ball-maha-ball-iphone-behind-the-scenes-j,"MAHA Inaugural Ball — MAHA Ball iPhone — Behind the Scenes, January 2025","Behind-the-scenes coverage — 20 images, 59 videos. From MAHA Inaugural Ball shot January 20, 2025.",BTS,Unspecified,,MAHA Inaugural Ball,,2025,2025-01-20,,,,biohack-yourself,,portrait,1,5,false,none,false,80,video,1,https://drive.google.com/drive/folders/1oGUpQynQvfATtffGHiAg3ybR1KQk7DNC,MAHA Ball iPhone BTS
b-roll-tereza-cell-clinic-production-january-2026,"TereZa Cell — Clinic production, January 2026","B-roll — 45 images, 92 videos. From Bye Ol' Dentistry shot January 5, 2026. Featuring Dr. Yuriy May.",b-roll,Clinic production,Bye Ol' Dentistry,,,2026,2026-01-05,2026-01-06,,Dr. Yuriy May,lolli-brands,,portrait,0.8,5,false,context,false,137,video,3,https://drive.google.com/drive/folders/1uzfvydL-vo7wvj9QPSYhlCqMG6-7HssA,TereZa Cell footage
logo-biohack-logo-with-r-logos,BIOHACK LOGO with R — Logos,"Logo and wordmark files — 5 images, 2 documents.",logo,Unspecified,,,,,,,,,biohack-yourself,,,,0,false,none,false,7,image,1,https://drive.google.com/drive/folders/18Td6mUjqEGROleHZbxJ3KXCV0W4d-ZF8,BIOHACK LOGO with R
event-photography-anthony-lolli-cell-conference-september-20,"Anthony Lolli Cell — Conference, September 2025","Event photography — 48 images, 34 videos. Shot September 26, 2025.",event photography,Conference,,,,2025,2025-09-26,2025-09-27,,,lolli-brands,,portrait,1,5,false,context,false,82,image,1,https://drive.google.com/drive/folders/1t9C2ZgQ2zVzJ3amGEGNUlRoYvS89U2fj,Anthony Lolli Cell Footage
event-photography-tereza-lolli-cell-clinic-production-august,"TereZa Lolli Cell — Clinic production, August 2025","Event photography — 64 images, 47 videos. From Bye Ol' Dentistry shot August 14, 2025. Featuring TereZa Hakobyan-Lolli, Dr. Jigar.",event photography,Clinic production,Bye Ol' Dentistry,,,2025,2025-08-14,2025-08-16,tereza,Dr. Jigar,lolli-brands,,portrait,0.6,5,false,context,false,111,image,2,https://drive.google.com/drive/folders/158qE9sqDfyA1yisjaE_SzTeeOj5ZZB2c,TereZa Lolli Cell Footage
b-roll-fountain-life-amen-clinics-b-roll,Fountain Life & Amen Clinics — B-Roll,B-roll — 12 videos.,b-roll,Clinic production,,,,,,,,,lolli-brands,,,0,0,false,none,false,12,video,1,https://drive.google.com/drive/folders/1ruhz2ZyPqhGGif90AtnnKWmVAlEUC1tz,Fountain Life & Amen Clinics
b-roll-anthony-lolli-miami-wellness-phone-b-roll,Anthony Lolli Miami Wellness Phone — B-Roll,"B-roll — 14 images, 19 videos. In Miami. Featuring Anthony Lolli.",b-roll,Unspecified,,,Miami,,,,anthony,,lolli-brands,,portrait,1,5,false,context,false,33,video,1,https://drive.google.com/drive/folders/1iRIVHXfAVJmNxMSd6IMcNgk_cl5UwA34,Anthony Lolli Miami Wellness Phone Footage
event-photography-cannes-film-festival-shealed-fan-event-pho,Cannes Film Festival — sHEALed Fan — Event Photography,Event photography — 64 images. From Cannes Film Festival in Cannes.,event photography,Festival,sHEALed,Cannes Film Festival,Cannes,,,,,,lolli-brands,,portrait,1,5,false,context,false,111,image,2,https://drive.google.com/drive/folders/1_QOOzFI3Ll0fD0wGF3SKlk-XeWjOF7rk,sHEALed Fan Thumbnails
b-roll-hack-your-health-iphone-b-roll-november-2025,"Hack Your Health — iphone — B-Roll, November 2025","B-roll — 4 images, 142 videos. From Hack Your Health shot November 13, 2025.",b-roll,Unspecified,,Hack Your Health,,2025,2025-11-13,2025-11-15,,,biohack-yourself,,portrait,1,5,false,none,false,146,video,9,https://drive.google.com/drive/folders/1CQsVYNtn0u-Jg3-5aLxAQRdH2wu1QNQO,iphone
event-photography-finalist-event-photography,Finalist — Event Photography,Event photography — 11 images. From The Guru.,event photography,Unspecified,The Guru,,,,,,,,lolli-brands,,landscape,1,5,false,none,false,11,image,4,https://drive.google.com/drive/folders/1ZhqOeMfcyZruv4h4eSxFrRDZ6O7WSPqd,Finalist
event-photography-step-repeat-book-signing-january-2026,"Step & Repeat — Book signing, January 2026","Event photography — 149 images. Shot January 27, 2026. Featuring Dr. Gabrielle Lyon.",event photography,Book signing,,,,2026,2026-01-27,,,Dr. Gabrielle Lyon,lolli-brands,,portrait,0.6,5,false,context,false,150,image,5,https://drive.google.com/drive/folders/1Wvhh18uno_orHBkaOD_CXfZOpJHGlMPf,Step & Repeat Photos
